| Mariana              |          7 |      50.39 | 47703608.32 |
| Trinity              |          7 |      61.66 | 58372782.08 |
| Kyla                 |          7 |      62.03 | 58723056.64 |
| Neal                 |          7 |      62.04 | 58732523.52 |
| Katarina             |          7 |      63.92 | 60512296.96 |
| Erick                |          7 |      64.40 | 60966707.20 |
| Alison               |          7 |      65.05 | 61582054.40 |
| Flossie              |          7 |      71.65 | 67830195.20 |
| Nina                 |          7 |      72.55 | 68682214.40 |
| Harry                |          7 |      73.72 | 69789839.36 |
| ﻿Catherine           |          7 |      89.63 | 84851645.44 |
| Camren               |          7 |      90.16 | 85353390.08 |
| Thad                 |          7 |      93.13 | 88165053.44 |
| Sigmund              |          7 |      93.36 | 88382791.68 |
| Jovanny              |          8 |      96.41 | 228349109.60 |
| Keyshawn             |          9 |      56.55 | 301354950.03 |
| Bruce                |          9 |      63.66 | 339244140.02 |
| Allen                |         10 |      50.86 | 560579479.58 |
| Aniyah               |         11 |      67.66 | 1440527950.37 |
| Ransom               |         12 |      59.77 | 2322825550.78 |
| Nasir                |         12 |      92.36 | 3589362020.89 |
| Dwight               |         13 |      54.70 | 3699736019.11 |
| Kirk                 |         13 |      93.62 | 6332162452.34 |
| Josefa               |         14 |      89.11 | 10071691161.96 |
| Elody                |         15 |      99.53 | 18150093372.31 |
